config_id,cycles,diffusion_time,coarse_factor,trajectory_samples,mean_absolute_winding,mean_winding_error_from_fine,maximum_winding_error_from_fine,mean_direction_sphere_path_length,mean_direction_path_length_loss,maximum_direction_path_length_loss
n1_k1_b0.75_s0.75_rho0.25,1,0.25,8,17,0.14249396324157715,7.839471294346367e-09,1.1920928955078125e-07,1.3512088060379028,0.03137093037366867,0.09025192260742188
n1_k1_b0.75_s0.75_rho1,1,1.0,1,129,0.04206099361181259,0.0,0.0,0.45942723751068115,0.0,0.0
n1_k1_b0.75_s0.75_rho1,1,1.0,2,65,0.04206099361181259,8.817434560270954e-10,1.4901161193847656e-08,0.45922744274139404,0.0002758364425972104,0.001453012228012085
n1_k1_b0.75_s0.75_rho1,1,1.0,4,33,0.04206099361181259,8.495146808229492e-10,2.2351741790771484e-08,0.4583074450492859,0.0011423731921240687,0.002221047878265381
n1_k1_b0.75_s0.75_rho1,1,1.0,8,17,0.04206099361181259,1.3976368951063023e-09,2.2351741790771484e-08,0.4557400345802307,0.003694365732371807,0.007151275873184204
n1_k1_b0.75_s1.25_rho0,1,0.0,1,129,0.2964381277561188,0.0,0.0,2.259366273880005,0.0,0.0
n1_k1_b0.75_s1.25_rho0,1,0.0,2,65,0.2964381277561188,1.1727351534318586e-08,1.7881393432617188e-07,2.2544639110565186,0.004971261136233807,0.016438961029052734
n1_k1_b0.75_s1.25_rho0,1,0.0,4,33,0.2964381277561188,1.2064283794188668e-08,1.7881393432617188e-07,2.2353036403656006,0.024076323956251144,0.0803680419921875
n1_k1_b0.75_s1.25_rho0,1,0.0,8,17,0.29643815755844116,1.4421694061184098e-08,1.7881393432617188e-07,2.1612560749053955,0.09811131656169891,0.32527804374694824
n1_k1_b0.75_s1.25_rho0.25,1,0.25,1,129,0.17297349870204926,0.0,0.0,1.2579156160354614,0.0,0.0
n1_k1_b0.75_s1.25_rho0.25,1,0.25,2,65,0.17297349870204926,5.991098284141572e-09,1.1920928955078125e-07,1.2564009428024292,0.0016067682299762964,0.0037009716033935547
n1_k1_b0.75_s1.25_rho0.25,1,0.25,4,33,0.17297348380088806,5.4912958624697694e-09,8.940696716308594e-08,1.2504985332489014,0.0074396333657205105,0.01799464225769043
n1_k1_b0.75_s1.25_rho0.25,1,0.25,8,17,0.17297349870204926,6.342489644595162e-09,8.940696716308594e-08,1.22860586643219,0.029313042759895325,0.07194018363952637
n1_k1_b0.75_s1.25_rho1,1,1.0,1,129,0.05786964297294617,0.0,0.0,0.4169687032699585,0.0,0.0
n1_k1_b0.75_s1.25_rho1,1,1.0,2,65,0.05786964297294617,7.190488759967195e-10,1.4901161193847656e-08,0.416804701089859,0.00028807311900891364,0.001596212387084961
n1_k1_b0.75_s1.25_rho1,1,1.0,4,33,0.05786964297294617,1.2684536754292708e-09,1.4901161193847656e-08,0.415932834148407,0.0010829429375007749,0.002508103847503662
n1_k1_b0.75_s1.25_rho1,1,1.0,8,17,0.05786964297294617,1.2291354600790783e-09,1.4901161193847656e-08,0.41343504190444946,0.0035473669413477182,0.007629901170730591
n1_k1_b1.25_s0.75_rho0,1,0.0,1,129,0.15285460650920868,0.0,0.0,1.334275722503662,0.0,0.0
