fixture_id,channel,bandwidth,tau,grid_count,odd_count_scaling_exponent,odd_fraction_scaling_exponent,log_log_r_squared,minimum_grid_size,maximum_grid_size
torus_T_3_4,signed_turning,0.1,0.001,4,1.2347414760596336,-0.7652585239403664,0.9882204867632651,9,65
torus_T_3_4,signed_turning,0.1,0.003,4,1.2661683787370204,-0.7338316212629796,0.9883495673711553,9,65
torus_T_3_4,signed_turning,0.1,0.01,4,1.2721171185003428,-0.7278828814996572,0.9889684898334,9,65
torus_T_3_4,signed_turning,0.1,0.03,4,1.351606967133322,-0.648393032866678,0.9815251756749765,9,65
torus_T_3_4,signed_turning,0.1,0.1,4,1.3221380354772119,-0.6778619645227881,0.9817948254295771,9,65
torus_T_3_4,signed_turning,0.1,0.3,4,1.2878598269834356,-0.7121401730165644,0.982480120311138,9,65
torus_T_3_4,signed_turning,0.1,1.0,4,1.2324817219498116,-0.7675182780501884,0.9901564887102249,9,65
torus_T_3_4,signed_turning,0.18,0.0,4,1.1740608996744277,-0.8259391003255723,0.9953513673537011,9,65
torus_T_3_4,signed_turning,0.18,0.0003,4,1.1765699977707105,-0.8234300022292895,0.9948230847845274,9,65
torus_T_3_4,signed_turning,0.18,0.001,4,1.1553881134688027,-0.8446118865311973,0.9974089996653117,9,65
torus_T_3_4,signed_turning,0.18,0.003,4,1.1778935980183312,-0.8221064019816688,0.9993328846681439,9,65
torus_T_3_4,signed_turning,0.18,0.01,4,1.179027288158363,-0.820972711841637,0.997459462023288,9,65
torus_T_3_4,signed_turning,0.18,0.03,4,1.1634327811161784,-0.8365672188838216,0.9973876113077906,9,65
torus_T_3_4,signed_turning,0.18,0.1,4,1.273327182360518,-0.7266728176394821,0.9775043449555607,9,65
torus_T_3_4,signed_turning,0.18,0.3,4,1.2592689862745767,-0.7407310137254233,0.9958532095977666,9,65
torus_T_3_4,signed_turning,0.18,1.0,4,1.0750886415828709,-0.9249113584171291,0.9993433132383274,9,65
trefoil_T_2_3,curvature_density,0.1,0.0,4,1.172785764525981,-0.8272142354740191,0.9956265399957797,9,65
trefoil_T_2_3,curvature_density,0.1,0.0003,4,1.1754140989170676,-0.8245859010829324,0.995441599885866,9,65
trefoil_T_2_3,curvature_density,0.1,0.001,4,1.1775506770079778,-0.8224493229920222,0.996078945763039,9,65
