atlas_index,vertex_count,edge_count,observable,spectrum_minimum,negative_coefficient_count,translation_kernel_psd
329,7,7,3^nullity,96,0,True
329,7,7,strict_maximum_indicator,1,0,True
331,7,7,2^nullity,0,0,True
331,7,7,3^nullity,96,0,True
331,7,7,strict_maximum_indicator,1,0,True
332,7,7,2^nullity,0,0,True
332,7,7,3^nullity,192,0,True
332,7,7,strict_maximum_indicator,0,0,True
333,7,7,2^nullity,0,0,True
333,7,7,3^nullity,96,0,True
333,7,7,strict_maximum_indicator,1,0,True
334,7,7,2^nullity,0,0,True
334,7,7,3^nullity,120,0,True
334,7,7,strict_maximum_indicator,1,0,True
336,7,7,2^nullity,0,0,True
336,7,7,3^nullity,96,0,True
336,7,7,strict_maximum_indicator,1,0,True
337,7,7,2^nullity,0,0,True
337,7,7,3^nullity,192,0,True
337,7,7,strict_maximum_indicator,0,0,True
338,7,7,2^nullity,0,0,True
338,7,7,3^nullity,96,0,True
338,7,7,strict_maximum_indicator,1,0,True
339,7,7,2^nullity,0,0,True
339,7,7,3^nullity,96,0,True
339,7,7,strict_maximum_indicator,1,0,True
340,7,7,2^nullity,0,0,True
340,7,7,3^nullity,120,0,True
340,7,7,strict_maximum_indicator,1,0,True
341,7,7,2^nullity,0,0,True
341,7,7,3^nullity,192,0,True
341,7,7,strict_maximum_indicator,0,0,True
342,7,7,2^nullity,0,0,True
342,7,7,3^nullity,120,0,True
342,7,7,strict_maximum_indicator,1,0,True
343,7,7,2^nullity,0,0,True
343,7,7,3^nullity,96,0,True
343,7,7,strict_maximum_indicator,1,0,True
344,7,7,2^nullity,0,0,True
344,7,7,3^nullity,192,0,True
344,7,7,strict_maximum_indicator,0,0,True
348,7,7,2^nullity,0,0,True
348,7,7,3^nullity,144,0,True
348,7,7,strict_maximum_indicator,0,0,True
349,7,7,2^nullity,0,0,True
349,7,7,3^nullity,96,0,True
349,7,7,strict_maximum_indicator,1,0,True
350,7,7,2^nullity,0,0,True
350,7,7,3^nullity,192,0,True
350,7,7,strict_maximum_indicator,0,0,True
351,7,7,2^nullity,0,0,True
351,7,7,3^nullity,120,0,True
351,7,7,strict_maximum_indicator,1,0,True
353,7,7,2^nullity,0,0,True
353,7,7,3^nullity,126,0,True
353,7,7,strict_maximum_indicator,1,0,True
379,7,8,2^nullity,0,0,True
379,7,8,3^nullity,48,0,True
379,7,8,strict_maximum_indicator,1,0,True
380,7,8,2^nullity,0,0,True
380,7,8,3^nullity,48,0,True
380,7,8,strict_maximum_indicator,1,0,True
381,7,8,2^nullity,0,0,True
381,7,8,3^nullity,48,0,True
381,7,8,strict_maximum_indicator,1,0,True
382,7,8,2^nullity,0,0,True
382,7,8,3^nullity,48,0,True
382,7,8,strict_maximum_indicator,1,0,True
383,7,8,2^nullity,0,0,True
383,7,8,3^nullity,48,0,True
383,7,8,strict_maximum_indicator,1,0,True
384,7,8,2^nullity,0,0,True
384,7,8,3^nullity,48,0,True
384,7,8,strict_maximum_indicator,1,0,True
385,7,8,2^nullity,0,0,True
385,7,8,3^nullity,48,0,True
385,7,8,strict_maximum_indicator,1,0,True
386,7,8,2^nullity,0,0,True
386,7,8,3^nullity,48,0,True
386,7,8,strict_maximum_indicator,1,0,True
388,7,8,2^nullity,0,0,True
388,7,8,3^nullity,48,0,True
388,7,8,strict_maximum_indicator,1,0,True
389,7,8,2^nullity,0,0,True
389,7,8,3^nullity,48,0,True
389,7,8,strict_maximum_indicator,1,0,True
390,7,8,2^nullity,0,0,True
390,7,8,3^nullity,96,0,True
390,7,8,strict_maximum_indicator,0,0,True
391,7,8,2^nullity,0,0,True
391,7,8,3^nullity,48,0,True
391,7,8,strict_maximum_indicator,1,0,True
392,7,8,2^nullity,0,0,True
392,7,8,3^nullity,96,0,True
392,7,8,strict_maximum_indicator,-1,96,False
393,7,8,2^nullity,0,0,True
393,7,8,3^nullity,96,0,True
393,7,8,strict_maximum_indicator,0,0,True
394,7,8,2^nullity,0,0,True
394,7,8,3^nullity,48,0,True
394,7,8,strict_maximum_indicator,1,0,True
395,7,8,2^nullity,0,0,True
395,7,8,3^nullity,48,0,True
395,7,8,strict_maximum_indicator,1,0,True
396,7,8,2^nullity,0,0,True
396,7,8,3^nullity,96,0,True
396,7,8,strict_maximum_indicator,-1,96,False
398,7,8,2^nullity,0,0,True
398,7,8,3^nullity,96,0,True
398,7,8,strict_maximum_indicator,0,0,True
399,7,8,2^nullity,0,0,True
399,7,8,3^nullity,48,0,True
399,7,8,strict_maximum_indicator,1,0,True
400,7,8,2^nullity,0,0,True
400,7,8,3^nullity,48,0,True
400,7,8,strict_maximum_indicator,1,0,True
