hurst,sample_id,grid_size,periodic_resolution,estimated_hurst,vertex_count,edge_count,odd_degree_vertex_count,odd_degree_vertex_fraction,chromatic_number,main_diagonal_fraction,neighbor_diagonal_sign_agreement,mean_absolute_mixed_curvature
0.25,13,33,32,0.40449678897857666,1090,3264,504,0.4623853266239166,4,0.5068359375,0.4183467626571655,0.48878541588783264
0.25,14,33,32,0.42186853289604187,1090,3264,476,0.43669724464416504,4,0.486328125,0.4228830635547638,0.45754608511924744
0.25,15,33,32,0.362155020236969,1090,3264,482,0.4422018527984619,4,0.4990234375,0.4264112710952759,0.5188558101654053
0.75,0,9,32,0.5883175134658813,82,240,36,0.4390243887901306,4,0.5,0.4017857313156128,0.7548496127128601
0.75,1,9,32,0.6435348987579346,82,240,28,0.3414633870124817,4,0.5,0.3214285969734192,0.6327407360076904
0.75,2,9,32,0.6678568124771118,82,240,38,0.46341460943222046,4,0.625,0.5089285969734192,0.5961065292358398
0.75,3,9,32,0.5669296979904175,82,240,42,0.5121951103210449,4,0.546875,0.4910714626312256,0.7870364785194397
0.75,4,9,32,0.625599205493927,82,240,40,0.4878048598766327,4,0.53125,0.4285714626312256,0.9314117431640625
0.75,5,9,32,0.6110751628875732,82,240,30,0.3658536374568939,4,0.546875,0.3750000298023224,0.6461300849914551
0.75,6,9,32,0.6384288668632507,82,240,40,0.4878048598766327,4,0.515625,0.3839285969734192,0.6260249018669128
0.75,7,9,32,0.49988576769828796,82,240,44,0.5365853309631348,4,0.53125,0.4375000298023224,1.2703406810760498
0.75,8,9,32,0.5753523111343384,82,240,36,0.4390243887901306,4,0.484375,0.3750000298023224,0.950274646282196
0.75,9,9,32,0.6042564511299133,82,240,40,0.4878048598766327,4,0.453125,0.4375000298023224,0.7772549390792847
0.75,10,9,32,0.6871447563171387,82,240,36,0.4390243887901306,4,0.5625,0.455357164144516,0.5930760502815247
0.75,11,9,32,0.7227275371551514,82,240,34,0.4146341383457184,4,0.484375,0.392857164144516,0.6430736184120178
0.75,12,9,32,0.5370916724205017,82,240,36,0.4390243887901306,4,0.5,0.3839285969734192,0.990832507610321
0.75,13,9,32,0.709729790687561,82,240,26,0.31707316637039185,4,0.5625,0.3839285969734192,0.6238455176353455
0.75,14,9,32,0.6858707666397095,82,240,32,0.39024388790130615,4,0.5,0.4017857313156128,0.7526923418045044
0.75,15,9,32,0.7196535468101501,82,240,34,0.4146341383457184,4,0.515625,0.4285714626312256,0.5579140782356262
