size,field_of_view,center_extent,channel,threshold,samples,realized_blue_fraction,mean_neighbor_agreement,blue_crossing_probability,yellow_crossing_probability,both_winners,neither_winners,u1_board_mismatch_count
6,2.0,2.0,h_x,0.2,100000,0.42475972222222225,0.9517938823529407,0.41943,0.58057,0,0,0
6,2.0,2.0,h_x,0.4,100000,0.33873055555555553,0.9517898823529414,0.32697,0.67303,0,0,0
6,2.0,2.0,h_x,0.6,100000,0.24267333333333332,0.954117882352941,0.22365,0.77635,0,0,0
6,2.0,2.0,h_y,-0.6,100000,0.7602436111111112,0.9547302352941176,0.78086,0.21914,0,0,0
6,2.0,2.0,h_y,-0.4,100000,0.6647458333333334,0.9522308235294119,0.67908,0.32092,0,0,0
6,2.0,2.0,h_y,-0.2,100000,0.5791619444444445,0.9517997647058825,0.58609,0.41391,0,0,0
6,2.0,2.0,h_y,-0.1,100000,0.5392094444444444,0.9518731764705881,0.54214,0.45786,0,0,0
6,2.0,2.0,h_y,0.0,100000,0.5002538888888889,0.9520363529411763,0.49968,0.50032,0,0,0
6,2.0,2.0,h_y,0.1,100000,0.46132805555555556,0.9519077647058819,0.4577,0.5423,0,0,0
6,2.0,2.0,h_y,0.2,100000,0.421375,0.951706705882353,0.41455,0.58545,0,0,0
6,2.0,2.0,h_y,0.4,100000,0.33525083333333333,0.9520437647058824,0.3227,0.6773,0,0,0
6,2.0,2.0,h_y,0.6,100000,0.2399236111111111,0.9547677647058823,0.22113,0.77887,0,0,0
6,2.0,2.0,h_z,-0.6,100000,0.9145416666666667,0.9610083529411764,0.95788,0.04212,0,0,0
6,2.0,2.0,h_z,-0.4,100000,0.8466127777777778,0.9475808235294122,0.89465,0.10535,0,0,0
6,2.0,2.0,h_z,-0.2,100000,0.7541011111111111,0.9360137647058825,0.80038,0.19962,0,0,0
6,2.0,2.0,h_z,-0.1,100000,0.6975075,0.9319207058823532,0.73929,0.26071,0,0,0
6,2.0,2.0,h_z,0.0,100000,0.6342477777777777,0.9296344705882355,0.67014,0.32986,0,0,0
6,2.0,2.0,h_z,0.1,100000,0.5653252777777777,0.9291377647058827,0.59319,0.40681,0,0,0
6,2.0,2.0,h_z,0.2,100000,0.4913075,0.9300149411764707,0.51202,0.48798,0,0,0
6,2.0,2.0,h_z,0.4,100000,0.33142055555555555,0.934118470588235,0.33764,0.66236,0,0,0
6,2.0,2.0,h_z,0.6,100000,0.16343805555555554,0.9487696470588235,0.14979,0.85021,0,0,0
6,4.0,2.0,h_x,-0.6,100000,0.7719813888888889,0.9155692941176471,0.82185,0.17815,0,0,0
6,4.0,2.0,h_x,-0.4,100000,0.6730947222222222,0.9102932941176471,0.70387,0.29613,0,0,0
6,4.0,2.0,h_x,-0.2,100000,0.5841061111111111,0.9082216470588231,0.59887,0.40113,0,0,0
6,4.0,2.0,h_x,-0.1,100000,0.5421905555555555,0.9079239999999998,0.54958,0.45042,0,0,0
6,4.0,2.0,h_x,0.0,100000,0.5007333333333334,0.907802823529412,0.501,0.499,0,0,0
6,4.0,2.0,h_x,0.1,100000,0.4594536111111111,0.9078614117647056,0.45262,0.54738,0,0,0
6,4.0,2.0,h_x,0.2,100000,0.4173383333333333,0.9081304705882354,0.40204,0.59796,0,0,0
6,4.0,2.0,h_x,0.4,100000,0.3283675,0.9099611764705883,0.2962,0.7038,0,0,0
6,4.0,2.0,h_x,0.6,100000,0.22848722222222223,0.9150824705882354,0.17632,0.82368,0,0,0
6,4.0,2.0,h_y,-0.6,100000,0.7712055555555556,0.9152649411764705,0.8219,0.1781,0,0,0
6,4.0,2.0,h_y,-0.4,100000,0.6719133333333334,0.9101035294117648,0.70291,0.29709,0,0,0
6,4.0,2.0,h_y,-0.2,100000,0.583135,0.9080315294117649,0.59788,0.40212,0,0,0
6,4.0,2.0,h_y,-0.1,100000,0.5409716666666666,0.907790117647059,0.5486,0.4514,0,0,0
6,4.0,2.0,h_y,0.0,100000,0.4995825,0.9076914117647061,0.50055,0.49945,0,0,0
6,4.0,2.0,h_y,0.1,100000,0.45816305555555553,0.9076537647058822,0.45172,0.54828,0,0,0
6,4.0,2.0,h_y,0.2,100000,0.41581583333333333,0.9080795294117648,0.4015,0.5985,0,0,0
6,4.0,2.0,h_y,0.4,100000,0.32710666666666666,0.9101099999999999,0.29506,0.70494,0,0,0
6,4.0,2.0,h_y,0.6,100000,0.22778055555555554,0.9154509411764705,0.17661,0.82339,0,0,0
6,4.0,2.0,h_z,-0.6,100000,0.9226077777777778,0.9307410588235298,0.98717,0.01283,0,0,0
6,4.0,2.0,h_z,-0.4,100000,0.8640386111111111,0.9081276470588237,0.95819,0.04181,0,0,0
6,4.0,2.0,h_z,-0.2,100000,0.7858666666666667,0.8878322352941177,0.90306,0.09694,0,0,0
6,4.0,2.0,h_z,-0.1,100000,0.7376775,0.8791368235294118,0.86071,0.13929,0,0,0
6,4.0,2.0,h_z,0.0,100000,0.6821997222222222,0.8720117647058823,0.80453,0.19547,0,0,0
6,4.0,2.0,h_z,0.1,100000,0.6191911111111111,0.867533294117647,0.72777,0.27223,0,0,0
6,4.0,2.0,h_z,0.2,100000,0.5485944444444445,0.866707411764706,0.63282,0.36718,0,0,0
6,4.0,2.0,h_z,0.4,100000,0.3878211111111111,0.8781950588235296,0.41461,0.58539,0,0,0
6,4.0,2.0,h_z,0.6,100000,0.2188138888888889,0.9062514117647058,0.19665,0.80335,0,0,0
7,1.0,2.0,h_x,-0.6,100000,0.7583595918367347,0.9808567500000002,0.76491,0.23509,0,0,0
7,1.0,2.0,h_x,-0.4,100000,0.6634867346938775,0.9797022499999999,0.66716,0.33284,0,0,0
7,1.0,2.0,h_x,-0.2,100000,0.5778606122448979,0.9797309166666668,0.57941,0.42059,0,0,0
