fixture_id,p,q,tau_index,tau,scale,minimum_mode,maximum_mode,spectral_power,dirichlet_energy,bending_energy,initial_bending_energy,initial_bending_fraction,current_bending_fraction,retained_bending_fraction
hopf_core_unknot,1,1,34,0.23496340138146393,microscopic,9,-1,3.034721599038107e-23,2.4581391640878253e-21,1.9918652055181622e-19,0.009115999929662243,0.0008057481709450316,1.3443279131391355e-19,2.1850210847818236e-17
hopf_core_unknot,1,1,35,0.2972704512189358,macroscopic,1,2,0.7792485879477195,0.8447552043621509,1.1067816700198767,5.140551196956487,0.4543648263005688,0.9860502539038174,0.21530408464274367
hopf_core_unknot,1,1,35,0.2972704512189358,mesoscopic,3,8,0.00019219569816076524,0.001733354610798379,0.015657744845722816,6.164041302098628,0.5448294255284862,0.013949746096182544,0.00254017519973332
hopf_core_unknot,1,1,35,0.2972704512189358,microscopic,9,-1,1.2541460938393794e-27,1.0306975370412446e-25,8.277538482249337e-23,0.009115999929662243,0.0008057481709450316,7.374597125351736e-23,9.080230963270782e-21
hopf_core_unknot,1,1,36,0.3760999400261539,macroscopic,1,2,0.6585595854566414,0.6934256934968381,0.8328901256576249,5.140551196956487,0.4543648263005688,0.9954969932497019,0.16202350560203457
hopf_core_unknot,1,1,36,0.3760999400261539,mesoscopic,3,8,4.64231386352353e-05,0.0004180962247876047,0.0037674748226509814,6.164041302098628,0.5448294255284862,0.004503006750298206,0.0006112020731217838
hopf_core_unknot,1,1,36,0.3760999400261539,microscopic,9,-1,5.372989560310063e-32,1.181574089377964e-27,5.0716740480809855e-23,0.009115999929662243,0.0008057481709450316,6.061827496899133e-23,5.56348627381889e-21
hopf_core_unknot,1,1,37,0.4758332498493084,macroscopic,1,2,0.5351835275307869,0.5508833399185279,0.6136825894694915,5.140551196956487,0.4543648263005688,0.9989835056951809,0.1193806978973049
hopf_core_unknot,1,1,37,0.4758332498493084,mesoscopic,3,8,7.705478023381171e-06,6.936113695436178e-05,0.0006244395964558732,6.164041302098628,0.5448294255284862,0.001016494304819094,0.00010130360356983244
hopf_core_unknot,1,1,37,0.4758332498493084,microscopic,9,-1,3.2337598139347547e-32,6.409929516391616e-28,2.5416950620803596e-23,0.009115999929662243,0.0008057481709450316,4.1374995593734326e-23,2.788169242750896e-21
hopf_core_unknot,1,1,38,0.6020136074640411,macroscopic,1,2,0.4136596150819589,0.4193809714327112,0.4422663968357203,5.140551196956487,0.4543648263005688,0.9998544192934257,0.08603481998147755
hopf_core_unknot,1,1,38,0.6020136074640411,mesoscopic,3,8,7.949334737048037e-07,7.154609975567731e-06,6.439482919019384e-05,6.164041302098628,0.5448294255284862,0.00014558070657440554,1.044685232207477e-05
hopf_core_unknot,1,1,38,0.6020136074640411,microscopic,9,-1,2.1133924702250001e-32,5.14053552190958e-28,2.303703932632207e-23,0.009115999929662243,0.0008057481709450316,5.208102117334367e-23,2.5270995506880853e-21
hopf_core_unknot,1,1,39,0.7616541796661821,macroscopic,1,2,0.2997404662958564,0.30133579743258376,0.30771712197949325,5.140551196956487,0.4543648263005688,0.999988178029428,0.05986072508366032
hopf_core_unknot,1,1,39,0.7616541796661821,mesoscopic,3,8,4.4911533643171326e-08,4.04205064476908e-07,3.6378657673109796e-06,6.164041302098628,0.5448294255284862,1.182197057208719e-05,5.901754367013116e-07
hopf_core_unknot,1,1,39,0.7616541796661821,microscopic,9,-1,2.9017553681847974e-32,7.42134656948019e-28,3.2971048684960834e-23,0.009115999929662243,0.0008057481709450316,1.0714600048934153e-22,3.616832924458178e-21
hopf_core_unknot,1,1,40,0.9636278685571338,macroscopic,1,2,0.1998811167834764,0.20019816285259787,0.20146634712908368,5.140551196956487,0.4543648263005688,0.9999995238435033,0.039191584600570414
hopf_core_unknot,1,1,40,0.9636278685571338,mesoscopic,3,8,1.1843148951901237e-09,1.0658836024769778e-08,9.592955571186684e-08,6.164041302098628,0.5448294255284862,4.7615649661291393e-07,1.5562769782091885e-08
hopf_core_unknot,1,1,40,0.9636278685571338,microscopic,9,-1,1.32530094188645e-32,2.824351075530056e-28,1.1889601672915594e-23,0.009115999929662243,0.0008057481709450316,5.901529551229021e-23,1.304256446320104e-21
hopf_core_unknot,1,1,41,1.2191604718389941,macroscopic,1,2,0.1198502299123638,0.11989127972475028,0.12005547897429619,5.140551196956487,0.4543648263005688,0.9999999919648325,0.023354592605823322
hopf_core_unknot,1,1,41,1.2191604718389941,mesoscopic,3,8,1.190945531642396e-11,1.0718509840090237e-10,9.64665894457509e-10,6.164041302098628,0.5448294255284862,8.035167532110646e-09,1.5649893425098823e-10
hopf_core_unknot,1,1,41,1.2191604718389941,microscopic,9,-1,1.0669364319689253e-32,3.2083139343134023e-28,1.6113896581225813e-23,0.009115999929662243,0.0008057481709450316,1.342204170056906e-22,1.76764992382167e-21
hopf_core_unknot,1,1,42,1.5424546182129775,macroscopic,1,2,0.06277499481443634,0.06277808562413359,0.06279044886292261,5.140551196956487,0.4543648263005688,0.9999999999543758,0.012214730766634188
hopf_core_unknot,1,1,42,1.5424546182129775,mesoscopic,3,8,3.536749884602552e-14,3.183074896320058e-13,2.864767406972472e-12,6.164041302098628,0.5448294255284862,4.5624254304915434e-11,4.647547390698249e-13
hopf_core_unknot,1,1,42,1.5424546182129775,microscopic,9,-1,6.766104010688818e-33,2.065056064487354e-28,1.0453044572041262e-23,0.009115999929662243,0.0008057481709450316,1.6647507321351244e-22,1.1466701023141142e-21
hopf_core_unknot,1,1,43,1.951479156519718,macroscopic,1,2,0.02770167121386183,0.027701788426776803,0.02770225727843668,5.140551196956487,0.4543648263005688,0.9999999999999344,0.0053889663222959575
hopf_core_unknot,1,1,43,1.951479156519718,mesoscopic,3,8,2.2445875448341287e-17,2.0201287903510826e-16,1.818115911316562e-15,6.164041302098628,0.5448294255284862,6.563060522622668e-14,2.949551799235285e-16
hopf_core_unknot,1,1,43,1.951479156519718,microscopic,9,-1,3.302893750359614e-33,8.930195794222534e-29,4.1523225561222175e-24,0.009115999929662243,0.0008057481709450316,1.4989112671890803e-22,4.554983093638599e-22
hopf_core_unknot,1,1,44,2.468967873261005,macroscopic,1,2,0.009840573218957982,0.0098405750854903,0.009840582551619565,5.140551196956487,0.4543648263005688,1.0,0.0019143049401873047
