fixture_id,p,q,tau_index,tau,minimal_crossing_number,projection_crossings,below_minimal_crossing,first_nonzero_mode,leading_mode_rank,effective_mode_count,normalized_clearance,spectral_dirichlet_energy,spectral_bending_energy,polygon_length,mean_curvature,maximum_curvature,geometric_bending_energy,median_edge_length,cpu_transfer_seconds
hopf_core_unknot,1,1,18,0.005452251381025419,0,0,False,1,2,15,2.3502178602735975,2.711137465825445,10.231949607374247,6.874518439091066,0.9128262413070027,0.9209865777464378,5.743282498803166,0.009605870083545865,7.90999984019436e-05
hopf_core_unknot,1,1,19,0.006898066757065406,0,0,False,1,2,14,2.3494392756485176,2.6819226849179354,9.976453914830923,6.867316469879629,0.913504504989034,0.9236533498809567,5.749390201366903,0.009635534559245802,8.579999848734587e-05
hopf_core_unknot,1,1,20,0.008727280101304084,0,0,False,1,2,14,2.348489140797442,2.6459915234856037,9.669405612723178,6.85841683187412,0.914354467940153,0.9269227098628823,5.756978175014492,0.009672852715282605,0.0001047000041580759
hopf_core_unknot,1,1,21,0.011041559997749386,0,0,False,1,2,14,2.3473447912806678,2.6020899949049436,9.304649626148247,6.847479869516052,0.9154171924000118,0.9308972350092406,5.766362288291651,0.009719723195346733,8.749999688006938e-05
hopf_core_unknot,1,1,22,0.013969535269720744,0,0,False,1,2,13,2.3459931999310237,2.5488714309656095,8.87723181983776,6.834128052717363,0.9167422766137825,0.9356859636167798,5.77790276411562,0.009778464759511602,9.300000237999484e-05
hopf_core_unknot,1,1,23,0.017673944233581942,0,0,False,1,2,13,2.3444449280912414,2.48495834823799,8.384333242604974,6.817956456609238,0.9183889258403006,0.9413843196764782,5.79199809610299,0.009851871037468415,0.00011580000136746094
hopf_core_unknot,1,1,24,0.022360679774997897,0,0,False,1,2,12,2.342760579908131,2.409036102324109,7.8263015196909365,6.798551256099326,0.9204267117928684,0.9480719115343633,5.809071157283048,0.00994323731394078,0.00014229999942472205
hopf_core_unknot,1,1,25,0.02829023297753531,0,0,False,1,2,12,2.3410999572126343,2.319979201467769,7.207614567036361,6.77551795603948,0.9229356339671151,0.9557819015351989,5.8295445827157,0.010056317233649553,9.129999671131372e-05
hopf_core_unknot,1,1,26,0.03579217134615496,0,0,False,1,2,11,2.339811309772047,2.217004388748637,6.53754586977951,6.748520398398491,0.9260048438546935,0.964481026372374,5.853802472257245,0.010195129598673863,9.440000576432794e-05
hopf_core_unknot,1,1,27,0.04528345633243088,0,0,False,1,2,10,2.33958728518519,2.099835586804237,5.830279717665032,6.717330443062495,0.9297290299545891,0.9740537705794285,5.882136005514844,0.010363479334294793,0.0001055999964592047
hopf_core_unknot,1,1,28,0.05729161825862411,0,0,False,1,2,10,2.3417191881048787,1.9688563722406078,5.104281787039856,6.681886745800872,0.9342009940894693,0.9842512790110064,5.914672016588797,0.010564005031730668,0.00010209999891230837
hopf_core_unknot,1,1,29,0.07248407671437371,0,0,False,1,2,9,2.348464777230901,1.8252188824728866,4.380875856225273,6.642359537826398,0.9394984571922429,0.9946730036944846,5.95128645286996,0.010796604403494831,9.589999535819516e-05
hopf_core_unknot,1,1,30,0.09170523606818065,0,0,False,1,2,8,2.3634840885107176,1.6708774119670968,3.682182466662848,6.5992170307578135,0.9456628484319314,1.0047738134052882,5.991509835837528,0.011056374461163863,0.0001798999946913682
hopf_core_unknot,1,1,31,0.11602341788059299,0,0,False,1,2,8,2.3921965639418756,1.5085227391669873,3.0287727700506446,6.553287975413713,0.9526682843174672,1.0138350932018512,6.034440871314521,0.011331806571693838,9.439999848837033e-05
hopf_core_unknot,1,1,32,0.14679023874587108,0,0,False,1,2,7,2.4418291731710435,1.3414090685454454,2.437500291264649,6.505812984059265,0.9603812189789964,1.0210451192641667,6.078699079602569,0.01160457177499954,0.00011680000170599669
hopf_core_unknot,1,1,33,0.18571573381199297,0,0,False,1,2,6,2.520894092354653,1.173085855392765,1.9199397679940815,6.4584715045946925,0.968517409753063,1.0255949606574934,6.122466460880494,0.011852095833896363,0.00010309999925084412
hopf_core_unknot,1,1,34,0.23496340138146393,0,0,False,1,2,6,2.637747217666389,1.0070668822125046,1.4816810586540337,6.413355779351558,0.976616014491404,1.02686507983696,6.163673081911428,0.012052889037994296,0.00010509999992791563
hopf_core_unknot,1,1,35,0.2972704512189358,0,0,False,1,2,5,2.7977148351383456,0.8464885589729493,1.1224394148655996,6.372831400867502,0.984070805445806,1.0247070316565932,6.2003159419001825,0.012192958069649778,9.770000178832561e-05
hopf_core_unknot,1,1,36,0.3760999400261539,0,0,False,1,2,5,2.9986826302987266,0.6938437897216257,0.8366576004802757,6.33919052189669,0.9902647687874424,1.019730960076025,6.230754139391129,0.01227072283405538,0.00012250000145286322
hopf_core_unknot,1,1,37,0.4758332498493084,0,0,False,1,2,4,3.2269204349005003,0.5509527010554822,0.6143070290659474,6.314048819505637,0.9947933125506541,1.0133866688382305,6.253867246994007,0.012297997005830097,0.00010870000551221892
hopf_core_unknot,1,1,38,0.6020136074640411,0,0,False,1,2,4,3.457206679415126,0.41938812604268677,0.44233079166491046,6.297673129476847,0.9976374367242793,1.0074874882540905,6.269319353800545,0.012295499728397693,9.239999781129882e-05
hopf_core_unknot,1,1,39,0.7616541796661821,0,0,False,1,2,3,3.660271280349315,0.30133620163764824,0.3077207598452606,6.288726554529227,0.9991339644135124,1.0033274883816024,6.277981652641065,0.012283843087707016,0.00010800000018207356
hopf_core_unknot,1,1,40,0.9636278685571338,0,0,False,1,2,3,3.81454074131318,0.20019817351143387,0.2014664430586394,6.284807561771501,0.9997715847864762,1.0011302139629972,6.281845585675125,0.012275205772400986,9.510000381851569e-05
hopf_core_unknot,1,1,41,1.2191604718389941,0,0,False,1,2,3,3.914028247465003,0.11989127983193537,0.12005547993896208,6.283504567881874,0.9999804755232073,1.0002932236845188,6.283142431141109,0.012271894819207419,0.00010209999891230837
hopf_core_unknot,1,1,42,1.5424546182129775,0,0,False,1,2,2,3.9673115178104705,0.06277808562445189,0.06279044886578737,6.283197437629248,1.0000294421774885,1.0000764268696927,6.283449188633412,0.012271433678504355,0.00010460000339662656
hopf_core_unknot,1,1,43,1.951479156519718,0,0,False,1,2,2,3.990173956018374,0.027701788426777004,0.0277022572784385,6.283150311343084,1.000036945246619,1.0000410917205245,6.283496299629777,0.012271615364392006,0.00010150000161956996
hopf_core_unknot,1,1,44,2.468967873261005,0,0,False,1,2,2,3.9976245716817087,0.0098405750854903,0.009840582551619565,6.283146079347488,1.0000376188838467,1.0000378081434755,6.283500530851148,0.012271732579026053,0.00010990000009769574
hopf_core_unknot,1,1,45,3.123683047717644,0,0,False,1,2,2,3.9993431713373386,0.002656696825397616,0.0026566968650602917,6.283145884642351,1.0000376498758565,1.0000376545497591,6.2835007255231945,0.012271764009394859,0.00012710000009974465
hopf_core_unknot,1,1,46,3.9520140736829643,0,0,False,1,2,2,3.999600155039447,0.0005068305760784691,0.0005068305761310061,6.283145880761317,1.0000376504936157,1.0000376509427724,6.2835007294035705,0.012271768855861351,9.29000016185455e-05
hopf_core_unknot,1,1,47,5.0,0,0,False,1,2,1,3.99962250710451,6.23151718853684e-05,6.23151718853804e-05,6.283145880734233,1.000037650497926,1.000037650610359,6.283500729430641,0.012271769279229724,0.00010380000458098948
trefoil_2_3,2,3,0,0.0,3,3,False,1,2,40,2.460601095498857,12.90994448735806,322.74861218395176,15.79554281968955,0.8250567547802696,1.164642124606616,16.051054911180408,0.023807409041757325,9.950000094249845e-05
trefoil_2_3,2,3,1,0.0001,3,3,False,1,2,40,2.460518040014316,12.845800810359016,318.7040065600339,15.783220737774435,0.8260471368716877,1.1643991243866936,16.061533647115297,0.02383586840992975,0.00010440000187372789
trefoil_2_3,2,3,2,0.0001265177680741505,3,3,False,1,2,40,2.46049759287749,12.828926223730237,317.6472670679458,15.77997050087839,0.8263089616582395,1.1643409191703622,16.064294032947924,0.02384339524483089,9.130000398727134e-05
trefoil_2_3,2,3,3,0.0001600674563846453,3,3,False,1,2,40,2.4604726767997405,12.80765689052193,316.31960635178626,15.775868657737206,0.8266397382320374,1.1642708889744084,16.067775461468294,0.023852906003314623,9.789999603526667e-05
trefoil_2_3,2,3,4,0.00020251377323091753,3,3,False,1,2,40,2.460442685138002,12.780874475587444,314.6545825118818,15.770695447808636,0.8270574674827245,1.1641879352668427,16.072162628402694,0.023864919514029918,0.00010819999442901462
trefoil_2_3,2,3,5,0.0002562159059345033,3,3,False,1,2,39,2.4604072038351146,12.747191343310348,312.5711943700867,15.76417636822256,0.8275847570876411,1.1640917670788349,16.077685367456674,0.023880087782070833,0.00013829999807057902
trefoil_2_3,2,3,6,0.00032415864563929844,3,3,False,1,2,38,2.460366280954259,12.704894529603607,309.9716813367685,15.755969670772,0.8282499466449702,1.1639836608706633,16.084628385779624,0.023899228613737833,0.0001033000007737428
trefoil_2_3,2,3,7,0.0004101182834822349,3,3,False,1,2,38,2.4603209052033037,12.651883149554621,306.739572619976,15.745651647899297,0.8290884766667983,1.1638676510276724,16.093342312301928,0.023923365229179344,0.00011069999891333282
trefoil_2_3,2,3,8,0.000518872498725741,3,3,False,1,2,37,2.460273837871764,12.585601603127397,302.73840683228474,15.73269968700659,0.8301445365469751,1.1637523256289968,16.104255718600754,0.02395377366599726,9.549999958835542e-05
trefoil_2_3,2,3,9,0.0006564659045383825,3,3,False,1,2,37,2.4602310408135057,12.50297326240905,297.81175041012045,15.716473320003384,0.831473020961433,1.1636534339130737,16.117887340452768,0.023992038304334894,0.0001281000004382804
trefoil_2_3,2,3,10,0.0008305460105897448,3,3,False,1,2,37,2.46020410971331,12.400342661623789,291.78538164849385,15.696193889421828,0.8331418102423399,1.1636135610351583,16.13485704521591,0.024040114775181774,0.00013970000145491213
trefoil_2_3,2,3,11,0.0010507882754270427,3,3,False,1,2,36,2.4602144063658393,12.273438656273973,284.4727302640119,15.670924031134009,0.8352343634062718,1.164020993344952,16.155893065084076,0.024100397346034336,0.00010779999865917489
trefoil_2_3,2,3,12,0.0013294338732551514,3,3,False,1,2,35,2.4603000722094195,12.117376380596808,275.68477778046827,15.639548956545521,0.8378525661444718,1.1651107966496708,16.181831562688508,0.02417578371155476,0.00011829999857582152
trefoil_2_3,2,3,13,0.0016819700644641483,3,3,False,1,2,34,2.460527946031499,11.926721394890173,265.2454844040451,15.60076248103952,0.8411197011543635,1.1669955921722095,16.21360266993458,0.024269722356806554,9.00999948498793e-05
trefoil_2_3,2,3,14,0.0021279909852353904,3,3,False,1,2,33,2.461013847587492,11.695643647002987,253.01322634569817,15.553061790877667,0.8451832923534426,1.1697793007325055,16.25219481221769,0.02438621356603459,9.899999713525176e-05
trefoil_2_3,2,3,15,0.0026922866993389413,3,3,False,1,2,31,2.461957100047004,11.418189253612656,238.9075376589003,15.494755859682613,0.8502174010242718,1.173553802039017,16.298586686064187,0.02452971035374133,0.00011819999781437218
trefoil_2_3,2,3,16,0.003406221042160843,3,3,False,1,2,31,2.463698999226541,11.08869129339869,222.9386269529597,15.423992891850133,0.8564236985567577,1.1783883121529228,16.353634346912624,0.024704824379689214,0.00016930000128922984
trefoil_2_3,2,3,17,0.004309474838213967,3,3,False,1,2,29,2.4668203565022404,10.702323468730647,205.23495151725655,15.338811782317856,0.8640302794268591,1.1843054840253646,16.417900659827623,0.024915680969857117,0.00010340000153519213
trefoil_2_3,2,3,18,0.005452251381025419,3,3,False,1,2,27,2.4722989314241555,10.255771006377355,186.06224924414997,15.237220983363818,0.8732866799161962,1.191286258233578,16.491417754941928,0.02516469954408628,0.00024530000519007444
trefoil_2_3,2,3,19,0.006898066757065406,3,3,False,1,2,26,2.4817483859004326,9.747953830947806,165.82684081630723,15.117305236260005,0.8844529153062867,1.1992709174749516,16.57338292398716,0.025450561267041,9.439999848837033e-05
trefoil_2_3,2,3,20,0.008727280101304084,3,3,False,1,2,24,2.497745624336812,9.180695816118785,145.057659685634,14.977356654524906,0.897779572639797,1.2081976455704209,16.66180860526992,0.025765306586318468,9.309999586548656e-05
trefoil_2_3,2,3,21,0.011041559997749386,3,3,False,1,2,23,2.5242121545610305,8.559204012410902,124.36564955425831,14.816022390956128,0.9134752830339785,1.2180759800728014,16.753183201747966,0.026091060212352732,0.00011210000229766592
trefoil_2_3,2,3,22,0.013969535269720744,3,3,False,1,2,21,2.566752861993395,7.892217770318784,104.38507055581842,14.632457500858125,0.9316579149177375,1.229217840357316,16.84225822582066,0.026397779436441508,0.0001249999986612238
trefoil_2_3,2,3,23,0.017673944233581942,3,3,False,1,2,20,2.632798465640349,7.19171859203785,85.70696196082643,14.426468860310575,0.952288734225957,1.2426525924345175,16.92216466756004,0.02664409442892175,9.119999594986439e-05
trefoil_2_3,2,3,24,0.022360679774997897,3,3,False,1,2,18,2.731343877430632,6.472153242313264,68.81821426204544,14.19863190917934,0.9751002140397653,1.261085597985315,16.98517321985878,0.026782821452849714,0.00013829999807057902
trefoil_2_3,2,3,25,0.02829023297753531,3,3,False,1,2,17,2.8719511376832596,5.749195228859911,54.05868325688681,13.950348817961284,0.9995561863068165,1.2895839663785484,17.024496174336107,0.02677077773152441,0.00017020000086631626
trefoil_2_3,2,3,26,0.03579217134615496,3,3,False,1,2,15,3.062520751235999,5.038129381192821,41.60281197181566,13.68377836423848,1.0249194926053935,1.3262404307946212,17.037381459992872,0.026580191761546145,0.00014089999604038894
