type_simplex_code,tile_type,simplex_code,defect_0,defect_1,defect_2,defect_3,defect_sum,defect_sum_error_from_4pi,bounded_relation_residual
38,6,2,4.505242469992316,1.731739810834254,1.8694499145188175,4.4599384190137865,12.566370614359174,1.7763568394002505e-15,0.0002861527491347822
39,6,3,4.527553750831818,2.171234292265443,1.9787634533108358,3.888819117951076,12.566370614359172,0.0,0.0023509326217820816
40,6,4,4.4599384190137865,1.8694499145188175,1.731739810834254,4.505242469992316,12.566370614359174,1.7763568394002505e-15,0.0002861527491347822
41,6,5,4.495672091097757,2.2263736316397242,1.9191380357133507,3.9251868559083416,12.566370614359174,1.7763568394002505e-15,0.0005695223820721544
42,7,0,4.331641824431386,1.9191380357133507,2.0418724621060633,4.273718292108372,12.56637061435917,1.7763568394002505e-15,0.003875037184809306
43,7,1,4.307676071438842,1.9787634533108358,1.964589029553676,4.3153420600558166,12.566370614359169,3.552713678800501e-15,0.0010358496243532162
44,7,2,4.33679405855357,1.9107030060666954,2.0476404341709458,4.271233115567959,12.56637061435917,1.7763568394002505e-15,0.0029100267614518872
45,7,3,4.3153420600558166,1.964589029553677,1.9787634533108358,4.307676071438841,12.56637061435917,1.7763568394002505e-15,0.0010358496243529334
46,7,4,4.271233115567959,2.047640434170945,1.9107030060666954,4.33679405855357,12.56637061435917,1.7763568394002505e-15,0.0029100267614527355
47,7,5,4.273718292108372,2.0418724621060633,1.9191380357133507,4.331641824431386,12.566370614359172,0.0,0.003875037184809306
