fixture_id,p,q,tau,is_projection_fall_state,projection_crossings,inflation_level,scale_regime,cell_scale,occupied_tetrahedra,itinerary_transitions,unique_transition_pairs,occupied_type_simplex_classes,occupancy_entropy,maximum_cell_curvature_fraction,mean_cell_diameter,positive_space_form_force_mean_per_mv2,positive_space_form_force_max_per_mv2,negative_space_form_force_mean_per_mv2,negative_space_form_force_min_per_mv2,space_form_force_asymmetry_ratio,visited_defect_class_count,minimum_visited_bounded_relation_residual,median_visited_bounded_relation_residual,nonzero_projected_winding_count,nonzero_projected_winding_fraction,maximum_absolute_projected_winding,total_polygonal_turning,tangent_holonomy_angle
hopf_core_unknot,1,1,2.5,False,0,2,macroscopic,0.47124611797498106,35,35,35,18,3.2566518776331077,0.11328125142350942,1.3947042061571244,0.36885108186746274,0.42557029698677845,-0.35379428949678265,-0.40819818147496595,1.0425580423926457,18,0.00021040931346040742,0.0013402026516714793,17,0.4857142857142857,1,6.2831853071801005,0.0
trefoil_2_3,2,3,0.0,False,3,-2,microscopic,0.06875388202501892,351,351,351,48,5.701387748763973,0.012322026408749177,0.2100858336194565,2.4630085871439733,3.5607222993859358,-2.3624666320653267,-3.4153708039258546,1.0425580423926455,48,0.00021040931345984198,0.0015499711582184208,235,0.6695156695156695,2,15.29162854868636,2.8247700191100282
trefoil_2_3,2,3,0.0,False,3,-1,microscopic,0.11124611797498106,275,275,275,43,5.410165849578723,0.02116419881145389,0.34275202487188305,1.505259070790698,2.200647405520187,-1.4438132071152265,-2.1108152410102305,1.0425580423926457,43,0.00021040931345984198,0.0015154609818577242,186,0.6763636363636364,2,15.29162854868636,2.8247700191100282
trefoil_2_3,2,3,0.0,False,3,0,mesoscopic,0.18,202,202,202,41,5.013738970985361,0.03016921059702756,0.544701244936884,0.9474317761789739,1.3600748938657485,-0.908756863075595,-1.3045555629156236,1.0425580423926457,41,0.00021040931345984198,0.0015844813345791177,127,0.6287128712871287,2,15.29162854868636,2.8247700191100282
trefoil_2_3,2,3,0.0,False,3,1,macroscopic,0.29124611797498107,135,135,135,44,4.566673973331372,0.04964625728238901,0.8644762681597404,0.5990823731645114,0.840572511654435,-0.5746273577149064,-0.806259678094604,1.042558042392646,44,0.00021040931345984198,0.0015154609818577242,84,0.6222222222222222,2,15.29162854868636,2.8247700191100282
trefoil_2_3,2,3,0.0,False,3,2,macroscopic,0.47124611797498106,84,84,84,38,4.049361039569931,0.07824161244168641,1.4146778702588862,0.36695695567507614,0.5195023822113088,-0.35197748303098664,-0.49829588482101517,1.0425580423926457,38,0.00021040931346040742,0.0015154609818577242,66,0.7857142857142857,2,15.29162854868636,2.8247700191100282
trefoil_2_3,2,3,0.02,False,3,-2,microscopic,0.06875388202501892,355,355,355,45,5.731825506424052,0.015290835511482566,0.21002307710591567,2.4635469072198206,3.5607222993859358,-2.3629829774906725,-3.4153708039258546,1.0425580423926457,45,0.00021040931345984198,0.0015154609818577242,219,0.6169014084507043,2,14.972660966249695,-2.9812890976702593
trefoil_2_3,2,3,0.02,False,3,-1,microscopic,0.11124611797498106,280,280,280,46,5.431509232465611,0.015503398829967485,0.3378646626371813,1.5293286887309252,2.2006474055201872,-1.46690028424811,-2.110815241010231,1.0425580423926457,46,0.00021040931345984198,0.0015844813345791177,183,0.6535714285714286,2,14.972660966249695,-2.9812890976702593
trefoil_2_3,2,3,0.02,False,3,0,mesoscopic,0.18,179,179,179,41,4.953350627577024,0.03347175711371503,0.5540449424992673,0.9305115052199098,1.3600748938657492,-0.8925272909356762,-1.3045555629156242,1.0425580423926455,41,0.00021040931345984198,0.0015844813345791177,128,0.7150837988826816,2,14.972660966249695,-2.9812890976702593
trefoil_2_3,2,3,0.02,False,3,1,macroscopic,0.29124611797498107,124,124,124,42,4.562965026341958,0.03545715266528111,0.87741221126633,0.589309153612525,0.8405725116544349,-0.5652530887010133,-0.8062596780946039,1.0425580423926457,42,0.00021040931345984198,0.0015844813345791177,73,0.5887096774193549,2,14.972660966249695,-2.9812890976702593
trefoil_2_3,2,3,0.02,False,3,2,macroscopic,0.47124611797498106,83,83,83,37,4.096711743764738,0.06920090172104187,1.4183855908126266,0.36529784983806907,0.5195023822113088,-0.3503861032041144,-0.49829588482101517,1.0425580423926457,37,0.00021040931346040742,0.0015154609818577242,61,0.7349397590361446,2,14.972660966249695,-2.9812890976702593
trefoil_2_3,2,3,0.1,False,3,-2,microscopic,0.06875388202501892,332,332,332,45,5.699522364241162,0.009995916920813298,0.21161920481265278,2.4400171717791035,3.5607222993859344,-2.3404137444274307,-3.4153708039258532,1.0425580423926455,45,0.00021040931345984198,0.0015154609818577242,221,0.6656626506024097,2,13.824789730242141,-2.192061424537768
trefoil_2_3,2,3,0.1,False,3,-1,microscopic,0.11124611797498106,246,246,246,46,5.327444097389252,0.01686075545228107,0.3368247848401219,1.5353324740929888,2.200647405520186,-1.4726589903516905,-2.1108152410102297,1.042558042392646,46,0.00021040931345984198,0.0015499711582184208,163,0.6626016260162603,2,13.824789730242141,-2.192061424537768
trefoil_2_3,2,3,0.1,False,3,0,mesoscopic,0.18,169,169,169,44,4.920926043970855,0.03756606665205157,0.5576170759122154,0.9255494215080864,1.360074893865749,-0.8877677633985468,-1.304555562915624,1.0425580423926457,44,0.00021040931345984198,0.0015499711582184208,104,0.6153846153846154,2,13.824789730242141,-2.192061424537768
trefoil_2_3,2,3,0.1,False,3,1,macroscopic,0.29124611797498107,112,112,112,43,4.516415144628614,0.034788427251314764,0.8714515047846276,0.5941460380422374,0.840572511654435,-0.5698925276895725,-0.806259678094604,1.0425580423926457,43,0.00021040931345984198,0.0015844813345791177,64,0.5714285714285714,2,13.824789730242141,-2.192061424537768
trefoil_2_3,2,3,0.1,False,3,2,macroscopic,0.47124611797498106,71,77,76,41,3.948008066324392,0.07082551601416101,1.398828806842813,0.3698411180069767,0.5195023822113088,-0.3547439115794457,-0.49829588482101517,1.0425580423926457,41,0.00021040931345984198,0.0010959239687638408,45,0.6338028169014085,2,13.824789730242141,-2.192061424537768
trefoil_2_3,2,3,0.5,False,3,-2,microscopic,0.06875388202501892,221,229,229,42,5.095520108026002,0.25388593388551356,0.20617957749922308,2.5039862934490418,3.5607222993859393,-2.4017715960470203,-3.415370803925858,1.0425580423926457,42,0.00021040931346040742,0.0015844813345791177,109,0.49321266968325794,1,12.528043723936285,-2.5062267839577315
trefoil_2_3,2,3,0.5,False,3,-1,microscopic,0.11124611797498106,158,167,167,48,4.7616422047307925,0.23666351130705188,0.32282581948783473,1.6018797192649847,2.200647405520187,-1.5364897244365494,-2.1108152410102305,1.0425580423926457,48,0.00021040931345984198,0.0015499711582184208,76,0.4810126582278481,1,12.528043723936285,-2.5062267839577315
