family,hurst,size,nominal_probability,samples,realized_blue_fraction,mean_neighbor_agreement,blue_crossing_count,yellow_crossing_count,both_winners,neither_winners,blue_crossing_probability,ci95_low,ci95_high,elapsed_seconds,samples_per_second
fractional_gaussian,0.2,6,0.3,200000,0.3052036111111111,0.6994682352941176,23916,176084,0,0,0.11958,0.11815794858809227,0.12100205141190774,0.20309710002038628,984750.6438049809
fractional_gaussian,0.2,6,0.35,200000,0.3544718055555556,0.6798263529411764,39077,160923,0,0,0.195385,0.1936472762153627,0.1971227237846373,0.14957710000453517,1337103.0725554647
fractional_gaussian,0.2,6,0.4,200000,0.4031675,0.6664726470588235,57760,142240,0,0,0.2888,0.28681374253721226,0.29078625746278774,0.1840620000148192,1086590.387933944
fractional_gaussian,0.2,6,0.45,200000,0.4516376388888889,0.6586965294117646,78289,121711,0,0,0.391445,0.3893059232560715,0.3935840767439285,0.20500820002052933,975570.7331705375
fractional_gaussian,0.2,6,0.475,200000,0.47530180555555557,0.6567785882352941,88530,111470,0,0,0.44265,0.4404731158836952,0.4448268841163048,0.1674191000056453,1194606.8279739653
fractional_gaussian,0.2,6,0.5,200000,0.4999913888888889,0.6561525294117647,100078,99922,0,0,0.50039,0.49819865404865793,0.5025813459513421,0.2064173000107985,968911.0359913496
fractional_gaussian,0.2,6,0.525,200000,0.5241377777777778,0.6566638823529412,110825,89175,0,0,0.554125,0.5519465303849089,0.556303469615091,0.1821475000178907,1098011.22705695
fractional_gaussian,0.2,6,0.55,200000,0.5479655555555556,0.6589445882352941,121723,78277,0,0,0.608615,0.6064759817597004,0.6107540182402996,0.1901955000066664,1051549.5897273591
fractional_gaussian,0.2,6,0.6,200000,0.5968397222222223,0.6667359411764706,142584,57416,0,0,0.71292,0.7109372729048836,0.7149027270951164,0.16819719999330118,1189080.4365825676
fractional_gaussian,0.2,6,0.65,200000,0.6455477777777778,0.6801191176470589,160411,39589,0,0,0.802055,0.8003087138206652,0.8038012861793348,0.19354599999496713,1033346.0779618318
fractional_gaussian,0.2,6,0.7,200000,0.6946066666666667,0.6990731176470588,176196,23804,0,0,0.88098,0.8795608311466788,0.8823991688533211,0.18361569999251515,1089231.4764377596
fractional_gaussian,0.2,6,0.75,200000,0.7445745833333334,0.7250508823529412,187729,12271,0,0,0.938645,0.9375932397835857,0.9396967602164142,0.1825871999899391,1095367.035646641
fractional_gaussian,0.5,6,0.25,200000,0.25885583333333334,0.750949411764706,14934,185066,0,0,0.07467,0.07351797349672466,0.07582202650327534,0.17268620000686496,1158170.1374634986
fractional_gaussian,0.5,6,0.3,200000,0.3084926388888889,0.7296477647058824,27456,172544,0,0,0.13728,0.13577172809336885,0.13878827190663118,0.17102899999008514,1169392.325345961
fractional_gaussian,0.5,6,0.35,200000,0.35648375,0.7141652352941176,42363,157637,0,0,0.211815,0.2100242559685633,0.2136057440314367,0.1553153000131715,1287703.1431097838
